"0.0.0.0","0.255.255.255","ZZ"
"1.0.0.0","1.0.0.255","AU"
"1.0.1.0","1.0.3.255","CN"
"1.0.4.0","1.0.7.255","AU"
"1.0.8.0","1.0.15.255","CN"
"1.0.16.0","1.0.31.255","JP"
"1.0.32.0","1.0.63.255","CN"
"1.0.64.0","1.0.127.255","JP"
"1.0.128.0","1.0.255.255","TH"
"1.1.0.0","1.1.0.255","CN"
"1.1.1.0","1.1.1.255","AU"
"1.1.2.0","1.1.63.255","CN"
"1.1.64.0","1.1.127.255","JP"
"1.1.128.0","1.1.255.255","TH"
"1.2.0.0","1.2.2.255","CN"
"1.2.3.0","1.2.3.255","AU"
"1.2.4.0","1.2.127.255","CN"
"1.2.128.0","1.2.255.255","TH"
"1.3.0.0","1.3.255.255","CN"
"1.4.0.0","1.4.0.255","AU"
"1.4.1.0","1.4.127.255","CN"
"1.4.128.0","1.4.255.255","TH"
"1.5.0.0","1.5.255.255","JP"
"1.6.0.0","1.7.255.255","IN"
"1.8.0.0","1.8.255.255","CN"
"1.9.0.0","1.9.255.255","MY"
"1.10.0.0","1.10.9.255","CN"
"1.10.10.0","1.10.10.255","AU"
"1.10.11.0","1.10.127.255","CN"
"1.10.128.0","1.10.255.255","TH"
"1.11.0.0","1.11.255.255","KR"
"1.12.0.0","1.15.255.255","CN"
"1.16.0.0","1.19.255.255","KR"
"1.20.0.0","1.20.255.255","TH"
"1.21.0.0","1.21.255.255","JP"
"1.22.0.0","1.23.255.255","IN"
"1.24.0.0","1.31.255.255","CN"
"1.32.0.0","1.32.127.255","MY"
"1.32.128.0","1.32.191.255","SG"
"1.32.192.0","1.32.199.255","HK"
"1.32.200.0","1.32.201.255","SG"
"1.32.202.0","1.32.202.127","TW"
"1.32.202.128","1.32.202.255","SG"
"1.32.203.0","1.32.203.127","TW"
"1.32.203.128","1.32.203.255","SG"
"1.32.204.0","1.32.204.127","TW"
"1.32.204.128","1.32.207.255","SG"
"1.32.208.0","1.32.215.255","TW"
"1.32.216.0","1.32.223.255","KR"
"1.32.224.0","1.32.231.255","JP"
"1.32.232.0","1.32.255.255","SG"
"1.33.0.0","1.33.255.255","JP"
"1.34.0.0","1.35.255.255","TW"
"1.36.0.0","1.36.255.255","HK"
"1.37.0.0","1.37.255.255","PH"
"1.38.0.0","1.39.255.255","IN"
"1.40.0.0","1.44.255.255","AU"
"1.45.0.0","1.45.255.255","CN"
"1.46.0.0","1.47.255.255","TH"
"1.48.0.0","1.51.255.255","CN"
"1.52.0.0","1.55.255.255","VN"
"1.56.0.0","1.63.255.255","CN"
"1.64.0.0","1.65.255.255","HK"
"1.66.0.0","1.67.255.255","JP"
"1.68.0.0","1.71.255.255","CN"
"1.72.0.0","1.79.255.255","JP"
"1.80.0.0","1.95.255.255","CN"
"1.96.0.0","1.111.255.255","KR"
"1.112.0.0","1.115.255.255","JP"
"1.116.0.0","1.119.255.255","CN"
"1.120.0.0","1.159.255.255","AU"
"1.160.0.0","1.175.255.255","TW"
"1.176.0.0","1.177.255.255","KR"
"1.178.0.0","1.179.127.255","AU"
"1.179.128.0","1.179.255.255","TH"
"1.180.0.0","1.185.255.255","CN"
"1.186.0.0","1.187.255.255","IN"
"1.188.0.0","1.199.255.255","CN"
"1.200.0.0","1.200.255.255","TW"
"1.201.0.0","1.201.255.255","KR"
"1.202.0.0","1.207.255.255","CN"
"1.208.0.0","1.255.255.255","KR"
"2.0.0.0","2.16.0.255","FR"
"2.16.1.0","2.16.1.255","US"
"2.16.2.0","2.16.3.255","FR"
"2.16.4.0","2.16.5.255","NL"
"2.16.6.0","2.16.7.255","DE"
